Timestamp,Name,Symbol,RealTimePrice,MarketCap,Volume,PercentChange24h,CirculatingSupply,High24h,Low24h,AllTimeHigh,AllTimeLow
2024-01-09 17:11:36,Dogecoin,doge,0.07897,11259688242.0,593898897.0,1.09301,142581126383.705,0.081798,0.078002,0.731578,8.69e-05
2024-01-09 17:11:38,USDC,usdc,0.998885,25306163788.0,11280846471.0,-0.6029,25317513348.1359,1.006,0.99512,1.17,0.877647
2024-01-09 17:11:40,Wrapped Bitcoin,wbtc,46509.0,7359464579.0,399874348.0,5.15526,158168.98879455,47091.0,44229.0,70643.0,3139.17
2024-01-09 17:12:46,BNB,bnb,304.15,46848610649.0,1386686631.0,1.94938,153856150.0,308.59,298.08,686.31,0.0398177
2024-01-09 17:12:47,XRP,xrp,0.567338,30816673644.0,1213713090.0,1.36961,54210437480.0,0.581288,0.559673,3.4,0.00268621
2024-01-09 17:12:49,Litecoin,ltc,65.99,4887866219.0,872080620.0,2.57215,74073114.4834713,68.43,64.33,410.26,1.15
2024-01-09 17:12:50,Cardano,ada,0.521972,18331820804.0,655187759.0,5.35631,35062455754.9956,0.542339,0.495435,3.09,0.01925275
2024-01-09 17:12:52,Polkadot,dot,7.41,9816240999.0,294686872.0,5.58545,1316856817.81859,7.51,7.01,54.98,2.7
2024-01-09 17:13:54,LEO Token,leo,4.02,3735141768.0,1519806.0,0.78269,927992650.9,4.08,3.94,8.14,0.799859
2024-01-09 17:13:58,Bitcoin,btc,46468.0,911897936575.0,40816527173.0,4.93211,19593712.0,47193.0,44284.0,69045.0,67.81
2024-01-09 17:13:59,Ethereum,eth,2292.3,275823037826.0,17695917492.0,2.76776,120184188.645257,2360.39,2230.56,4878.26,0.432979
2024-01-09 17:14:01,BNB,bnb,303.75,46848610649.0,1247360165.0,1.81493,153856150.0,308.59,298.08,686.31,0.0398177
2024-01-09 17:14:03,XRP,xrp,0.566638,30730253342.0,1212556725.0,1.24448,54210437480.0,0.581288,0.559673,3.4,0.00268621
2024-01-09 17:14:06,Litecoin,ltc,65.93,4887866219.0,870772593.0,2.48418,74073114.4834713,68.43,64.33,410.26,1.15
